0,-nan,-nan,-nan
130000,17.3107,19.7869,22.4548
260000,0.777264,0.88844,1.00823
390000,0.384611,0.439621,0.498896
520000,0.31458,0.359572,0.408055
650000,0.294791,0.336951,0.382384
780000,0.288059,0.329474,0.373856
910000,0.282375,0.328711,0.371857
1.04e+06,0.261791,0.34033,0.377933
1.17e+06,0.278598,0.330875,0.371891
1.3e+06,0.281468,0.332118,0.37207
1.43e+06,0.378059,0.274379,0.33791
1.56e+06,0.295301,0.329011,0.369418
1.69e+06,0.179137,0.403595,0.412703
1.82e+06,0.225901,0.374339,0.395546
1.95e+06,0.330841,0.307724,0.356677
2.08e+06,0.296972,0.328433,0.36878
2.21e+06,0.188673,0.395982,0.408226
2.34e+06,0.401769,0.260466,0.329261
2.47e+06,0.384709,0.270333,0.335085
2.6e+06,0.21872,0.37431,0.395793
2.73e+06,0.390693,0.264873,0.332043
2.86e+06,0.374736,0.274231,0.337529
2.99e+06,0.215411,0.374253,0.395815
3.12e+06,0.276389,0.334778,0.37339
3.25e+06,0.363702,0.27942,0.340599
3.38e+06,0.312194,0.310276,0.360494
3.51e+06,0.353019,0.285438,0.343827
3.64e+06,0.210293,0.369704,0.401681
3.77e+06,0.224585,0.36185,0.394716
3.9e+06,0.23399,0.348342,0.398381
4.03e+06,0.299145,0.310892,0.370336
4.16e+06,0.35259,0.276417,0.351136
4.29e+06,0.295385,0.314243,0.3704
4.42e+06,0.327092,0.322461,0.33048
4.55e+06,0.351384,0.30177,0.327003
4.68e+06,0.337771,0.254791,0.387831
4.81e+06,0.345895,0.289051,0.345785
4.94e+06,0.330277,0.337948,0.312934
5.07e+06,0.229207,0.334914,0.41754
5.2e+06,0.231806,0.308202,0.442217
5.33e+06,0.298353,0.306886,0.377596
5.46e+06,0.316041,0.300528,0.366909
5.59e+06,0.253925,0.343753,0.386465
5.72e+06,0.266712,0.308718,0.409389
5.85e+06,0.323408,0.341057,0.321033
5.98e+06,0.2553,0.427712,0.303158
6.11e+06,0.324848,0.279536,0.382447
6.24e+06,0.286234,0.25485,0.446393
6.37e+06,0.281074,0.333926,0.373101
6.5e+06,0.332029,0.374077,0.2826
6.63e+06,0.247304,0.2506,0.491382
6.76e+06,0.338704,0.380992,0.270144
6.89e+06,0.276341,0.229778,0.48425
7.02e+06,0.262662,0.256432,0.471779
7.15e+06,0.252414,0.266317,0.472621
7.28e+06,0.339086,0.406704,0.246015
7.41e+06,0.300087,0.210548,0.481599
7.54e+06,0.269829,0.459253,0.263558
7.67e+06,0.243923,0.312477,0.436623
7.8e+06,0.339704,0.396286,0.257395
7.93e+06,0.322209,0.354432,0.317084
8.06e+06,0.316979,0.369458,0.30761
8.19e+06,0.27558,0.305404,0.413365
8.32e+06,0.272033,0.333821,0.38878
8.45e+06,0.301412,0.242534,0.450957
8.58e+06,0.260409,0.365702,0.369045
8.71e+06,0.247994,0.332844,0.414556
8.84e+06,0.273365,0.306003,0.416251
8.97e+06,0.285118,0.291434,0.419279
9.1e+06,0.332737,0.411426,0.251867
9.23e+06,0.312891,0.334396,0.34893
9.36e+06,0.285617,0.241066,0.469712
9.49e+06,0.253719,0.314221,0.428624
9.62e+06,0.26319,0.253875,0.479656
9.75e+06,0.276879,0.220613,0.499378
9.88e+06,0.299223,0.416169,0.281619
1.001e+07,0.244889,0.293786,0.458469
1.014e+07,0.310854,0.316166,0.370249
1.027e+07,0.290242,0.463105,0.244041
1.04e+07,0.275725,0.445506,0.276271
1.053e+07,0.282771,0.47578,0.239057
1.066e+07,0.24421,0.271431,0.482068
1.079e+07,0.322426,0.415514,0.259863
1.092e+07,0.270302,0.318214,0.409379
1.105e+07,0.318254,0.397048,0.282678
1.118e+07,0.281175,0.440888,0.275999
1.131e+07,0.262947,0.371863,0.363329
1.144e+07,0.248307,0.288456,0.461449
1.157e+07,0.245295,0.282008,0.470978
1.17e+07,0.27421,0.314716,0.409422
1.183e+07,0.332204,0.445561,0.220646
1.196e+07,0.281639,0.464009,0.252823
1.209e+07,0.277099,0.195565,0.525864
1.222e+07,0.276405,0.365011,0.357166
1.235e+07,0.238916,0.227719,0.531999
1.248e+07,0.253485,0.207536,0.537662
1.261e+07,0.311026,0.433488,0.254217
1.274e+07,0.30754,0.43345,0.257785
1.287e+07,0.288645,0.424836,0.285337
